"endTime","artistName","trackName","msPlayed"
"2023-10-17 05:18","Bad Bunny","MONACO",69369
"2023-11-04 00:42","Twenty One Pilots","Heavydirtysoul",2944
"2023-11-04 00:42","Twenty One Pilots","Hometown",874
"2023-11-04 00:42","Twenty One Pilots","Levitate",768
"2023-11-04 00:42","Twenty One Pilots","Ride",917
"2023-11-04 00:42","Twenty One Pilots","Lane Boy",831
"2023-11-04 00:42","Twenty One Pilots","Jumpsuit",2048
"2023-11-04 00:42","Twenty One Pilots","Message Man",853
"2023-11-04 00:42","Twenty One Pilots","My Blood",874
"2023-11-04 00:42","Twenty One Pilots","We Don't Believe What's on TV",1173
"2023-11-04 00:42","half•alive","I'll Stop",110891
"2023-11-04 00:42","Twenty One Pilots","Doubt",1024
"2023-11-04 00:42","Twenty One Pilots","Stressed Out",1130
"2023-11-04 00:42","Twenty One Pilots","Chlorine",831
"2023-11-04 00:42","Twenty One Pilots","Morph",661
"2023-11-04 00:42","Twenty One Pilots","Tear in My Heart",960
"2023-11-04 00:42","Twenty One Pilots","Not Today",917
"2023-11-04 00:42","Twenty One Pilots","The Judge",2560
"2023-11-04 00:42","Twenty One Pilots","Fairly Local",874
"2023-11-04 00:42","Twenty One Pilots","Polarize",1834
"2023-11-04 00:43","Twenty One Pilots","Neon Gravestones",938
"2023-11-04 00:43","Twenty One Pilots","Smithereens",4821
"2023-11-04 00:43","Unknown Artist","Unknown Track",704
"2023-11-04 00:43","Twenty One Pilots","Pet Cheetah",1301
"2023-11-04 00:43","Twenty One Pilots","Legend",1898
"2023-11-04 00:43","Twenty One Pilots","Cut My Lip",1557
"2023-11-04 00:43","Twenty One Pilots","Nico and the Niners",1664
"2023-11-04 00:43","Twenty One Pilots","The Hype",1343
"2023-11-04 01:03","Unknown Artist","Unknown Track",1663
"2023-11-04 21:16","Unknown Artist","Unknown Track",41726
"2023-11-04 21:20","Travis Scott","CAN'T SAY",198408
"2023-11-04 21:22","Kanye West","True Love",118136
"2023-11-04 21:23","Metro Boomin","10 Freaky Girls (with 21 Savage)",93158
"2023-11-04 21:27","Lil Uzi Vert","Neon Guts (feat. Pharrell Williams)",202594
"2023-11-04 21:29","Offset","Ric Flair Drip (with Metro Boomin)",148305
