"","ranking","power_index","state","sex"
"1",1,1,"CA","F"
"2",1,1,"NV","F"
"3",1,1,"IN","F"
"4",1,1,"CO","F"
"5",5,1.07,"KY","F"
"6",5,1.07,"PA","F"
"7",7,1.09,"IN","F"
"8",8,1.14,"NC","F"
"9",9,1.16,"PA","F"
"10",10,1.18,"SC","F"
"11",11,1.23,"TX","F"
"12",12,1.3,"IN","F"
"13",13,1.32,"PA","F"
"14",14,1.46,"AZ","F"
"15",15,1.47,"CA","F"
"16",16,1.52,"NJ","F"
"17",17,1.63,"CA","F"
"18",18,1.67,"CA","F"
"19",19,1.69,"NJ","F"
"20",20,1.73,"WI","F"
"21",21,1.76,"CT","F"
"22",22,1.81,"OH","F"
"23",23,1.92,"CA","F"
"24",24,2.23,"WA","F"
"25",25,2.27,"WA","F"
"26",26,2.65,"MA","F"
"27",27,2.93,"IL","F"
"28",28,3.77,"NV","F"
"29",29,3.79,"IL","F"
"30",30,3.82,"VA","F"
"31",31,3.92,"WA","F"
"32",32,3.99,"NJ","F"
"33",33,4.13,"PA","F"
"34",34,4.2,"MI","F"
"35",35,4.21,"UT","F"
"36",36,4.27,"CO","F"
"37",37,4.32,"PA","F"
"38",38,4.47,"CA","F"
"39",39,4.48,"NC","F"
"40",40,4.51,"TX","F"
"41",41,4.71,"TX","F"
"42",42,4.75,"CA","F"
"43",43,4.81,"VA","F"
"44",44,4.82,"MD","F"
"45",45,4.88,"TX","F"
"46",46,4.89,"OH","F"
"47",47,4.94,"CT","F"
"48",48,5,"IN","F"
"49",49,5.01,"NM","F"
"50",50,5.02,"CA","F"
"51",51,5.24,"IL","F"
"52",52,5.26,"FL","F"
"53",53,5.27,"WA","F"
"54",54,5.32,"NC","F"
"55",55,5.42,"NC","F"
"56",56,5.56,"FL","F"
"57",57,5.78,"WA","F"
"58",58,5.8,"IL","F"
"59",59,5.96,"NJ","F"
"60",60,6.09,"PA","F"
"61",61,6.11,"NC","F"
"62",62,6.24,"UT","F"
"63",63,6.36,"TX","F"
"64",64,6.46,"GA","F"
"65",65,6.5,"PA","F"
"66",65,6.5,"HI","F"
"67",67,6.54,"WA","F"
"68",68,6.56,"IL","F"
"69",69,6.58,"CA","F"
"70",70,6.61,"IL","F"
"71",70,6.61,"NY","F"
"72",72,6.71,"FL","F"
"73",73,6.86,"OR","F"
"74",74,6.9,"WA","F"
"75",75,6.91,"CA","F"
"76",76,7.05,"TX","F"
"77",77,7.07,"TX","F"
"78",78,7.12,"NH","F"
"79",79,7.21,"OH","F"
"80",80,7.24,"FL","F"
"81",81,7.31,"NJ","F"
"82",82,7.43,"SC","F"
"83",83,7.5,"OH","F"
"84",84,7.62,"WI","F"
"85",85,8.09,"FL","F"
"86",86,8.14,"TX","F"
"87",87,8.26,"IL","F"
"88",88,8.46,"NJ","F"
"89",89,8.6,"FL","F"
"90",90,8.77,"FL","F"
"91",91,8.8,"NV","F"
"92",92,9.01,"AZ","F"
"93",92,9.01,"TX","F"
"94",94,9.02,"IA","F"
"95",95,9.07,"WI","F"
"96",96,9.1,"MA","F"
"97",97,9.12,"TX","F"
"98",98,9.14,"NC","F"
"99",99,9.15,"KY","F"
"100",100,9.21,"MN","F"
"101",101,9.29,"OH","F"
"102",102,9.31,"CA","F"
"103",102,9.31,"MD","F"
"104",104,9.4,"OK","F"
"105",104,9.4,"TX","F"
"106",106,9.44,"FL","F"
"107",107,9.48,"FL","F"
"108",108,9.55,"MA","F"
"109",109,9.62,"CA","F"
"110",109,9.62,"CA","F"
"111",111,9.63,"NC","F"
"112",112,9.9,"CA","F"
"113",113,9.92,"SC","F"
"114",113,9.92,"NY","F"
"115",115,9.96,"SD","F"
"116",116,10.01,"MI","F"
"117",117,10.12,"NY","F"
"118",118,10.14,"OH","F"
"119",119,10.27,"NJ","F"
"120",120,10.3,"PA","F"
"121",121,10.31,"CO","F"
"122",122,10.34,"NC","F"
"123",123,10.47,"WA","F"
"124",124,10.54,"MN","F"
"125",125,10.6,"CO","F"
"126",126,10.62,"MD","F"
"127",127,10.77,"CA","F"
"128",128,10.79,"MN","F"
"129",129,10.86,"IN","F"
"130",130,10.96,"GA","F"
"131",131,11.08,"IN","F"
"132",132,11.12,"IA","F"
"133",132,11.12,"TX","F"
"134",134,11.16,"SA","F"
"135",135,11.2,"IN","F"
"136",136,11.25,"KY","F"
"137",137,11.29,"PA","F"
"138",138,11.33,"VA","F"
"139",139,11.4,"VA","F"
"140",140,11.41,"MD","F"
"141",141,11.42,"IA","F"
"142",142,11.47,"CA","F"
"143",143,11.49,"TN","F"
"144",143,11.49,"NC","F"
"145",145,11.53,"TX","F"
"146",146,11.55,"PA","F"
"147",147,11.58,"FL","F"
"148",147,11.58,"IL","F"
"149",147,11.58,"SC","F"
"150",150,11.59,"NY","F"
"151",151,11.67,"MI","F"
"152",152,11.87,"VA","F"
"153",153,12.04,"FL","F"
"154",154,12.05,"NC","F"
"155",155,12.06,"VA","F"
"156",156,12.09,"CA","F"
"157",157,12.14,"FL","F"
"158",158,12.2,"PA","F"
"159",159,12.21,"NC","F"
"160",160,12.26,"MN","F"
"161",161,12.27,"PA","F"
"162",162,12.3,"CA","F"
"163",163,12.37,"IL","F"
"164",164,12.4,"PA","F"
"165",165,12.41,"GA","F"
"166",166,12.51,"NC","F"
"167",167,12.63,"CA","F"
"168",168,12.7,"CA","F"
"169",168,12.7,"IN","F"
"170",168,12.7,"CA","F"
"171",171,12.73,"PA","F"
"172",172,12.76,"NY","F"
"173",173,12.84,"AZ","F"
"174",174,12.86,"CA","F"
"175",175,12.9,"CA","F"
"176",176,13.01,"NY","F"
"177",177,13.02,"NJ","F"
"178",177,13.02,"NJ","F"
"179",179,13.1,"IL","F"
"180",179,13.1,"AZ","F"
"181",181,13.11,"CO","F"
"182",182,13.2,"CA","F"
"183",183,13.26,"TN","F"
"184",184,13.35,"KS","F"
"185",185,13.38,"UT","F"
"186",186,13.39,"MI","F"
"187",186,13.39,"CA","F"
"188",188,13.41,"CA","F"
"189",189,13.45,"CA","F"
"190",190,13.5,"PA","F"
"191",191,13.52,"CT","F"
"192",192,13.57,"CO","F"
"193",193,13.63,"CA","F"
"194",194,13.72,"MN","F"
"195",195,13.74,"FL","F"
"196",196,13.75,"WA","F"
"197",197,13.8,"IL","F"
"198",197,13.8,"OH","F"
"199",199,13.81,"OH","F"
"200",200,13.85,"CA","F"
"201",201,13.87,"CA","F"
"202",202,13.89,"MI","F"
"203",203,14,"CA","F"
"204",204,14.01,"TX","F"
"205",205,14.03,"TX","F"
"206",206,14.07,"CA","F"
"207",207,14.11,"TX","F"
"208",208,14.17,"FL","F"
"209",209,14.21,"CT","F"
"210",210,14.22,"NJ","F"
"211",210,14.22,"CA","F"
"212",212,14.24,"TX","F"
"213",213,14.3,"CA","F"
"214",213,14.3,"NV","F"
"215",215,14.31,"MN","F"
"216",216,14.34,"WA","F"
"217",216,14.34,"CO","F"
"218",218,14.45,"TN","F"
"219",219,14.51,"FL","F"
"220",219,14.51,"OH","F"
"221",221,14.52,"PA","F"
"222",221,14.52,"NJ","F"
"223",223,14.53,"KS","F"
"224",224,14.64,"AZ","F"
"225",225,14.69,"IL","F"
"226",226,14.74,"CA","F"
"227",226,14.74,"WI","F"
"228",228,14.75,"CA","F"
"229",229,14.76,"NH","F"
"230",230,14.77,"WI","F"
"231",231,14.84,"CA","F"
"232",232,14.86,"LA","F"
"233",233,14.96,"IL","F"
"234",234,15.01,"GA","F"
"235",235,15.02,"AZ","F"
"236",236,15.07,"FL","F"
"237",236,15.07,"WI","F"
"238",238,15.11,"IL","F"
"239",239,15.13,"OH","F"
"240",240,15.16,"AZ","F"
"241",241,15.18,"FL","F"
"242",241,15.18,"VA","F"
"243",241,15.18,"NC","F"
"244",244,15.26,"TX","F"
"245",245,15.31,"VA","F"
"246",246,15.32,"TX","F"
"247",247,15.33,"IL","F"
"248",248,15.37,"IL","F"
"249",249,15.4,"FL","F"
"250",250,15.5,"CA","F"
"251",251,15.54,"IA","F"
"252",252,15.55,"AZ","F"
"253",252,15.55,"KY","F"
"254",254,15.63,"TX","F"
"255",254,15.63,"TN","F"
"256",256,15.67,"FL","F"
"257",257,15.68,"IL","F"
"258",258,15.7,"NC","F"
"259",259,15.72,"CA","F"
"260",260,15.73,"CT","F"
"261",261,15.76,"OH","F"
"262",262,15.79,"PA","F"
"263",263,15.81,"OH","F"
"264",263,15.81,"IL","F"
"265",265,15.89,"NC","F"
"266",266,15.92,"CT","F"
"267",267,15.95,"IL","F"
"268",267,15.95,"UT","F"
"269",269,15.97,"IL","F"
"270",270,16.02,"FL","F"
"271",271,16.03,"FL","F"
"272",272,16.05,"MO","F"
"273",273,16.07,"VA","F"
"274",274,16.1,"SC","F"
"275",275,16.24,"NY","F"
"276",276,16.27,"FL","F"
"277",277,16.28,"WA","F"
"278",277,16.28,"NC","F"
"279",279,16.31,"CA","F"
"280",280,16.35,"GA","F"
"281",281,16.36,"IL","F"
"282",282,16.37,"AZ","F"
"283",283,16.38,"NY","F"
"284",284,16.42,"TX","F"
"285",285,16.43,"PA","F"
"286",285,16.43,"IN","F"
"287",285,16.43,"CO","F"
"288",288,16.44,"GA","F"
"289",289,16.46,"NC","F"
"290",290,16.48,"CT","F"
"291",291,16.52,"NJ","F"
"292",292,16.59,"CA","F"
"293",292,16.59,"AZ","F"
"294",294,16.6,"IL","F"
"295",295,16.62,"TX","F"
"296",296,16.65,"OH","F"
"297",297,16.69,"KS","F"
"298",298,16.73,"HI","F"
"299",299,16.76,"CA","F"
"300",300,16.77,"FL","F"
"301",301,16.8,"MA","F"
"302",302,16.81,"DE","F"
"303",303,16.84,"CA","F"
"304",303,16.84,"IN","F"
"305",303,16.84,"OH","F"
"306",306,16.86,"PA","F"
"307",307,16.87,"IL","F"
"308",307,16.87,"NY","F"
"309",309,16.91,"NC","F"
"310",310,16.92,"CA","F"
"311",311,17.04,"TX","F"
"312",312,17.1,"KS","F"
"313",313,17.12,"TX","F"
"314",314,17.13,"NY","F"
"315",315,17.14,"PA","F"
"316",316,17.17,"CA","F"
"317",317,17.2,"CA","F"
"318",318,17.22,"PA","F"
"319",319,17.23,"FL","F"
"320",319,17.23,"CA","F"
"321",321,17.24,"CA","F"
"322",322,17.25,"FL","F"
"323",322,17.25,"AZ","F"
"324",324,17.27,"TX","F"
"325",325,17.38,"CT","F"
"326",326,17.39,"OR","F"
"327",327,17.41,"CA","F"
"328",328,17.43,"TX","F"
"329",329,17.47,"FL","F"
"330",329,17.47,"KY","F"
"331",331,17.48,"IL","F"
"332",332,17.5,"CA","F"
"333",332,17.5,"NM","F"
"334",334,17.54,"TX","F"
"335",335,17.62,"VA","F"
"336",336,17.65,"CA","F"
"337",337,17.66,"MA","F"
"338",338,17.7,"UT","F"
"339",339,17.71,"CA","F"
"340",340,17.74,"CA","F"
"341",341,17.75,"WI","F"
"342",342,17.77,"NJ","F"
"343",343,17.78,"TX","F"
"344",344,17.79,"FL","F"
"345",345,17.8,"VA","F"
"346",346,17.83,"PA","F"
"347",346,17.83,"TX","F"
"348",348,17.86,"NJ","F"
"349",349,17.95,"DE","F"
"350",350,17.97,"FL","F"
"351",351,17.98,"MD","F"
"352",352,18,"GA","F"
"353",353,18.04,"MI","F"
"354",354,18.05,"IL","F"
"355",355,18.09,"CO","F"
"356",356,18.12,"NC","F"
"357",357,18.16,"GA","F"
"358",358,18.17,"VA","F"
"359",359,18.25,"TX","F"
"360",359,18.25,"MI","F"
"361",361,18.26,"TX","F"
"362",362,18.29,"FL","F"
"363",363,18.31,"TX","F"
"364",364,18.32,"PA","F"
"365",365,18.37,"CA","F"
"366",365,18.37,"AZ","F"
"367",367,18.38,"NC","F"
"368",368,18.4,"WA","F"
"369",369,18.42,"OH","F"
"370",370,18.44,"IA","F"
"371",371,18.46,"TX","F"
"372",372,18.47,"IL","F"
"373",372,18.47,"FL","F"
"374",372,18.47,"NY","F"
"375",375,18.55,"CA","F"
"376",376,18.56,"GA","F"
"377",377,18.57,"NJ","F"
"378",378,18.59,"TX","F"
"379",379,18.61,"AZ","F"
"380",380,18.62,"GA","F"
"381",381,18.64,"NJ","F"
"382",382,18.65,"NM","F"
"383",383,18.66,"NC","F"
"384",384,18.68,"IL","F"
"385",385,18.78,"NY","F"
"386",386,18.82,"TN","F"
"387",387,18.83,"WA","F"
"388",388,18.86,"TN","F"
"389",389,18.89,"NC","F"
"390",390,18.93,"PA","F"
"391",391,19,"IL","F"
"392",392,19.01,"MI","F"
"393",393,19.02,"KY","F"
"394",394,19.03,"NY","F"
"395",395,19.04,"NJ","F"
"396",396,19.06,"WI","F"
"397",396,19.06,"MI","F"
"398",398,19.12,"NJ","F"
"399",399,19.18,"CA","F"
"400",399,19.18,"CO","F"
"401",401,19.22,"OR","F"
"402",401,19.22,"VA","F"
"403",403,19.25,"NE","F"
"404",403,19.25,"LA","F"
"405",405,19.26,"PA","F"
"406",405,19.26,"MD","F"
"407",407,19.31,"KS","F"
"408",408,19.35,"WI","F"
"409",409,19.39,"IL","F"
"410",409,19.39,"OK","F"
"411",411,19.4,"FL","F"
"412",412,19.44,"CT","F"
"413",413,19.52,"VA","F"
"414",414,19.53,"NM","F"
"415",415,19.54,"CO","F"
"416",416,19.55,"NC","F"
"417",417,19.57,"VA","F"
"418",418,19.58,"CA","F"
"419",419,19.59,"PA","F"
"420",420,19.61,"GA","F"
"421",421,19.67,"CA","F"
"422",422,19.68,"MO","F"
"423",423,19.7,"CA","F"
"424",424,19.71,"GA","F"
"425",425,19.72,"GA","F"
"426",426,19.74,"CA","F"
"427",427,19.76,"TX","F"
"428",428,19.78,"MN","F"
"429",428,19.78,"MN","F"
"430",430,19.8,"CO","F"
"431",431,19.81,"AK","F"
"432",432,19.83,"NE","F"
"433",433,19.85,"PA","F"
"434",433,19.85,"NE","F"
"435",435,19.87,"VA","F"
"436",435,19.87,"PA","F"
"437",437,19.88,"CT","F"
"438",437,19.88,"NY","F"
"439",439,19.9,"NC","F"
"440",439,19.9,"AL","F"
"441",441,19.91,"IL","F"
"442",442,19.92,"FL","F"
"443",443,19.99,"PA","F"
"444",444,20.06,"CA","F"
"445",445,20.1,"CA","F"
"446",446,20.12,"IN","F"
"447",447,20.13,"OK","F"
"448",448,20.18,"NY","F"
"449",449,20.19,"FL","F"
"450",450,20.2,"WI","F"
"451",451,20.27,"NC","F"
"452",452,20.28,"VA","F"
"453",453,20.29,"NC","F"
"454",454,20.3,"KS","F"
"455",455,20.36,"CA","F"
"456",456,20.45,"MN","F"
"457",456,20.45,"MD","F"
"458",456,20.45,"PA","F"
"459",459,20.48,"CA","F"
"460",460,20.55,"IL","F"
"461",461,20.56,"CA","F"
"462",462,20.6,"NY","F"
"463",463,20.71,"TN","F"
"464",464,20.72,"FL","F"
"465",465,20.73,"WA","F"
"466",466,20.74,"GA","F"
"467",467,20.77,"NV","F"
"468",468,20.79,"LA","F"
"469",468,20.79,"GA","F"
"470",470,20.83,"MD","F"
"471",470,20.83,"FL","F"
"472",472,20.85,"WI","F"
"473",473,20.87,"AZ","F"
"474",473,20.87,"CA","F"
"475",475,20.88,"CO","F"
"476",476,20.9,"TN","F"
"477",477,20.91,"CA","F"
"478",478,20.92,"IN","F"
"479",479,20.93,"NY","F"
"480",479,20.93,"SC","F"
"481",481,20.94,"MI","F"
"482",482,20.97,"NY","F"
"483",483,20.99,"TX","F"
"484",484,21,"GA","F"
"485",485,21.03,"VA","F"
"486",486,21.04,"VA","F"
"487",487,21.05,"KS","F"
"488",488,21.06,"MA","F"
"489",488,21.06,"VA","F"
"490",488,21.06,"SC","F"
"491",491,21.13,"IN","F"
"492",492,21.14,"AR","F"
"493",492,21.14,"OH","F"
"494",492,21.14,"VA","F"
"495",495,21.17,"TX","F"
"496",496,21.29,"CA","F"
"497",497,21.31,"IL","F"
"498",497,21.31,"OR","F"
"499",499,21.33,"VA","F"
"500",500,21.35,"CT","F"
"501",501,21.36,"MO","F"
"502",502,21.37,"AZ","F"
"503",503,21.38,"IA","F"
"504",503,21.38,"CA","F"
"505",505,21.42,"OH","F"
"506",505,21.42,"TN","F"
"507",507,21.45,"TX","F"
"508",508,21.46,"CA","F"
"509",509,21.47,"NC","F"
"510",509,21.47,"TX","F"
"511",511,21.49,"VA","F"
"512",512,21.5,"CO","F"
"513",513,21.58,"IN","F"
"514",514,21.69,"PA","F"
"515",515,21.72,"CA","F"
"516",516,21.75,"GA","F"
"517",517,21.79,"TX","F"
"518",517,21.79,"IL","F"
"519",517,21.79,"MD","F"
"520",520,21.8,"PA","F"
"521",520,21.8,"OR","F"
"522",520,21.8,"PA","F"
"523",523,21.82,"CT","F"
"524",524,21.84,"AZ","F"
"525",525,21.88,"NC","F"
"526",525,21.88,"PA","F"
"527",525,21.88,"NJ","F"
"528",528,21.89,"NJ","F"
"529",529,21.9,"FL","F"
"530",530,21.91,"AZ","F"
"531",531,21.92,"MD","F"
"532",532,21.93,"IL","F"
"533",533,21.95,"KY","F"
"534",534,22.06,"SC","F"
"535",534,22.06,"WA","F"
"536",534,22.06,"LA","F"
"537",537,22.07,"VA","F"
"538",537,22.07,"SC","F"
"539",537,22.07,"GA","F"
"540",540,22.08,"NC","F"
"541",541,22.11,"IN","F"
"542",542,22.14,"VA","F"
"543",542,22.14,"NJ","F"
"544",544,22.22,"NY","F"
"545",545,22.27,"TX","F"
"546",545,22.27,"CA","F"
"547",547,22.3,"VA","F"
"548",547,22.3,"PA","F"
"549",549,22.32,"FL","F"
"550",550,22.36,"NC","F"
"551",551,22.37,"PA","F"
"552",552,22.39,"MO","F"
"553",553,22.43,"CA","F"
"554",554,22.44,"TX","F"
"555",555,22.45,"AL","F"
"556",556,22.47,"IL","F"
"557",557,22.48,"NY","F"
"558",558,22.57,"CA","F"
"559",559,22.58,"FL","F"
"560",560,22.59,"MN","F"
"561",561,22.61,"IN","F"
"562",562,22.67,"CA","F"
"563",562,22.67,"FL","F"
"564",562,22.67,"CT","F"
"565",565,22.68,"TX","F"
"566",565,22.68,"OR","F"
"567",567,22.71,"MN","F"
"568",568,22.73,"MN","F"
"569",569,22.75,"MD","F"
"570",569,22.75,"OH","F"
"571",569,22.75,"FL","F"
"572",572,22.77,"IN","F"
"573",573,22.78,"OR","F"
"574",573,22.78,"IN","F"
"575",573,22.78,"MO","F"
"576",576,22.79,"WI","F"
