"","ranking","power_index","state","sex"
"1",1,1,"VA","M"
"2",1,1,"TX","M"
"3",3,1.15,"IL","M"
"4",3,1.15,"NY","M"
"5",5,1.16,"FL","M"
"6",5,1.16,"OR","M"
"7",7,1.18,"NV","M"
"8",8,1.3,"FL","M"
"9",9,1.32,"NY","M"
"10",10,1.34,"VA","M"
"11",11,1.35,"KY","M"
"12",12,1.39,"WA","M"
"13",13,1.4,"NV","M"
"14",14,1.53,"VA","M"
"15",15,1.65,"TX","M"
"16",16,1.71,"NC","M"
"17",17,1.79,"MA","M"
"18",18,1.82,"CO","M"
"19",19,2.18,"LA","M"
"20",20,2.19,"TX","M"
"21",21,2.21,"NJ","M"
"22",22,2.25,"FL","M"
"23",23,2.45,"TN","M"
"24",24,2.59,"TX","M"
"25",25,2.61,"NV","M"
"26",26,2.81,"AL","M"
"27",27,2.83,"NC","M"
"28",27,2.83,"NC","M"
"29",29,3.05,"PA","M"
"30",30,3.17,"TN","M"
"31",31,3.25,"OH","M"
"32",32,3.73,"IL","M"
"33",33,3.75,"NJ","M"
"34",34,4.14,"TN","M"
"35",35,4.22,"UT","M"
"36",36,4.4,"IL","M"
"37",37,4.43,"KY","M"
"38",38,4.48,"MA","M"
"39",39,4.49,"FL","M"
"40",40,4.56,"TX","M"
"41",41,4.57,"AZ","M"
"42",42,4.67,"KS","M"
"43",43,4.68,"TN","M"
"44",44,4.69,"MD","M"
"45",45,4.7,"OH","M"
"46",46,4.72,"CA","M"
"47",47,4.82,"VA","M"
"48",48,4.9,"KS","M"
"49",49,4.95,"WA","M"
"50",50,5.08,"WI","M"
"51",51,5.14,"NC","M"
"52",52,5.32,"OH","M"
"53",52,5.32,"IN","M"
"54",54,5.39,"NC","M"
"55",55,5.54,"PA","M"
"56",56,5.55,"AZ","M"
"57",57,5.65,"CT","M"
"58",58,5.72,"PA","M"
"59",59,5.76,"PA","M"
"60",60,5.82,"MD","M"
"61",61,5.83,"VA","M"
"62",62,5.89,"MN","M"
"63",63,5.9,"IL","M"
"64",64,5.97,"VA","M"
"65",65,5.98,"TN","M"
"66",66,6.02,"VA","M"
"67",67,6.14,"MN","M"
"68",68,6.22,"TX","M"
"69",69,6.34,"OH","M"
"70",70,6.4,"TX","M"
"71",71,6.53,"TX","M"
"72",72,6.59,"FL","M"
"73",73,6.61,"MO","M"
"74",74,6.63,"CO","M"
"75",75,6.68,"NY","M"
"76",76,6.7,"CA","M"
"77",77,6.77,"SC","M"
"78",78,6.86,"AZ","M"
"79",79,6.97,"CA","M"
"80",80,6.98,"CA","M"
"81",81,6.99,"IL","M"
"82",82,7.03,"IN","M"
"83",83,7.09,"CA","M"
"84",84,7.17,"MN","M"
"85",85,7.24,"NY","M"
"86",86,7.25,"IA","M"
"87",87,7.4,"WA","M"
"88",88,7.51,"MI","M"
"89",88,7.51,"IN","M"
"90",90,7.62,"WI","M"
"91",91,7.63,"IL","M"
"92",92,7.65,"IL","M"
"93",93,7.71,"PA","M"
"94",94,7.74,"TX","M"
"95",95,7.81,"GA","M"
"96",96,7.84,"CT","M"
"97",97,7.94,"TX","M"
"98",98,8.15,"IL","M"
"99",99,8.21,"TN","M"
"100",99,8.21,"IL","M"
"101",101,8.3,"PA","M"
"102",102,8.35,"CA","M"
"103",103,8.37,"WI","M"
"104",104,8.44,"PA","M"
"105",105,8.49,"FL","M"
"106",106,8.53,"CO","M"
"107",107,8.78,"FL","M"
"108",108,8.82,"VA","M"
"109",109,8.86,"PA","M"
"110",110,8.91,"NC","M"
"111",111,8.93,"TX","M"
"112",112,8.97,"VA","M"
"113",113,8.98,"NJ","M"
"114",114,9.04,"NC","M"
"115",115,9.08,"FL","M"
"116",116,9.17,"MN","M"
"117",117,9.27,"IL","M"
"118",118,9.32,"FL","M"
"119",119,9.36,"FL","M"
"120",120,9.38,"NC","M"
"121",121,9.49,"VA","M"
"122",122,9.51,"TX","M"
"123",123,9.55,"TX","M"
"124",123,9.55,"NC","M"
"125",125,9.6,"MN","M"
"126",126,9.61,"NV","M"
"127",127,9.74,"RI","M"
"128",128,9.77,"MI","M"
"129",129,9.82,"WA","M"
"130",130,9.88,"MO","M"
"131",131,9.96,"MO","M"
"132",132,10.01,"IN","M"
"133",133,10.02,"CA","M"
"134",134,10.05,"CA","M"
"135",135,10.11,"NC","M"
"136",136,10.12,"GA","M"
"137",137,10.24,"NC","M"
"138",138,10.25,"UT","M"
"139",139,10.32,"VA","M"
"140",140,10.33,"MI","M"
"141",141,10.53,"FL","M"
"142",142,10.56,"CA","M"
"143",143,10.58,"PA","M"
"144",144,10.61,"FL","M"
"145",145,10.71,"NJ","M"
"146",146,10.73,"IN","M"
"147",147,10.78,"WI","M"
"148",148,10.82,"PA","M"
"149",149,10.86,"MO","M"
"150",150,10.92,"FL","M"
"151",151,10.96,"PA","M"
"152",152,10.98,"NC","M"
"153",153,10.99,"IA","M"
"154",154,11.05,"TX","M"
"155",155,11.09,"SC","M"
"156",156,11.1,"WA","M"
"157",157,11.11,"IA","M"
"158",158,11.12,"NY","M"
"159",159,11.16,"IN","M"
"160",160,11.17,"WA","M"
"161",161,11.19,"PA","M"
"162",162,11.28,"UT","M"
"163",163,11.31,"GA","M"
"164",164,11.4,"GA","M"
"165",165,11.48,"CA","M"
"166",166,11.55,"WI","M"
"167",167,11.56,"CA","M"
"168",168,11.63,"CO","M"
"169",169,11.73,"IN","M"
"170",170,11.75,"CO","M"
"171",171,11.78,"VA","M"
"172",172,11.84,"FL","M"
"173",173,11.87,"LA","M"
"174",174,11.89,"FL","M"
"175",175,11.93,"NC","M"
"176",176,11.99,"PA","M"
"177",176,11.99,"CA","M"
"178",178,12,"NC","M"
"179",178,12,"IN","M"
"180",180,12.06,"FL","M"
"181",180,12.06,"FL","M"
"182",182,12.09,"CA","M"
"183",183,12.13,"OR","M"
"184",184,12.15,"NY","M"
"185",184,12.15,"MD","M"
"186",186,12.26,"MI","M"
"187",187,12.27,"MO","M"
"188",187,12.27,"WI","M"
"189",189,12.28,"NC","M"
"190",190,12.33,"AZ","M"
"191",191,12.35,"AZ","M"
"192",192,12.42,"NC","M"
"193",193,12.47,"VA","M"
"194",194,12.5,"MN","M"
"195",195,12.56,"CO","M"
"196",196,12.61,"MN","M"
"197",197,12.63,"CA","M"
"198",198,12.67,"OH","M"
"199",198,12.67,"WA","M"
"200",200,12.68,"IN","M"
"201",201,12.7,"UT","M"
"202",202,12.73,"SC","M"
"203",203,12.74,"NJ","M"
"204",204,12.76,"FL","M"
"205",205,12.8,"NC","M"
"206",206,12.87,"AZ","M"
"207",207,12.9,"MA","M"
"208",208,12.93,"OH","M"
"209",209,12.97,"OR","M"
"210",210,13.02,"CA","M"
"211",211,13.06,"AL","M"
"212",211,13.06,"TX","M"
"213",213,13.08,"CA","M"
"214",214,13.14,"FL","M"
"215",215,13.15,"IL","M"
"216",216,13.2,"VA","M"
"217",217,13.21,"CO","M"
"218",217,13.21,"TX","M"
"219",219,13.26,"TX","M"
"220",220,13.28,"NC","M"
"221",221,13.3,"WI","M"
"222",222,13.32,"TX","M"
"223",223,13.34,"KY","M"
"224",224,13.37,"NJ","M"
"225",225,13.38,"FL","M"
"226",226,13.46,"UT","M"
"227",226,13.46,"MN","M"
"228",228,13.47,"NJ","M"
"229",228,13.47,"MD","M"
"230",230,13.51,"KY","M"
"231",231,13.53,"TX","M"
"232",232,13.57,"VA","M"
"233",233,13.65,"OH","M"
"234",234,13.67,"TX","M"
"235",235,13.72,"IL","M"
"236",236,13.75,"TX","M"
"237",236,13.75,"NY","M"
"238",236,13.75,"CA","M"
"239",239,13.76,"MD","M"
"240",240,13.78,"NY","M"
"241",241,13.79,"IN","M"
"242",242,13.85,"TX","M"
"243",242,13.85,"WA","M"
"244",244,13.86,"WI","M"
"245",245,13.88,"CA","M"
"246",246,13.89,"CT","M"
"247",247,13.94,"PA","M"
"248",248,13.97,"VA","M"
"249",249,13.98,"CA","M"
"250",250,14.03,"TX","M"
"251",251,14.05,"MO","M"
"252",252,14.06,"FL","M"
"253",253,14.07,"TN","M"
"254",254,14.1,"TX","M"
"255",255,14.11,"TX","M"
"256",255,14.11,"TN","M"
"257",257,14.19,"CA","M"
"258",258,14.23,"PA","M"
"259",259,14.24,"MA","M"
"260",259,14.24,"CA","M"
"261",261,14.3,"NC","M"
"262",262,14.32,"FL","M"
"263",262,14.32,"MD","M"
"264",264,14.33,"VA","M"
"265",265,14.35,"TX","M"
"266",266,14.36,"AK","M"
"267",267,14.4,"NY","M"
"268",268,14.44,"OH","M"
"269",269,14.55,"IL","M"
"270",270,14.57,"FL","M"
"271",271,14.64,"AZ","M"
"272",272,14.65,"WA","M"
"273",273,14.66,"TX","M"
"274",274,14.7,"TX","M"
"275",275,14.72,"FL","M"
"276",276,14.74,"SC","M"
"277",277,14.76,"WA","M"
"278",278,14.81,"CA","M"
"279",279,14.82,"NE","M"
"280",280,14.84,"GA","M"
"281",281,14.88,"LA","M"
"282",282,14.89,"UT","M"
"283",283,14.91,"CO","M"
"284",284,14.92,"CO","M"
"285",285,14.93,"FL","M"
"286",286,14.94,"HI","M"
"287",287,14.97,"NC","M"
"288",288,14.99,"PA","M"
"289",289,15.04,"CA","M"
"290",290,15.07,"HI","M"
"291",291,15.08,"PA","M"
"292",291,15.08,"IL","M"
"293",293,15.13,"MA","M"
"294",294,15.14,"IN","M"
"295",295,15.16,"CA","M"
"296",296,15.17,"FL","M"
"297",297,15.18,"NJ","M"
"298",298,15.19,"SD","M"
"299",299,15.25,"IN","M"
"300",300,15.34,"CA","M"
"301",301,15.37,"MD","M"
"302",302,15.39,"NC","M"
"303",303,15.54,"WA","M"
"304",304,15.55,"PA","M"
"305",305,15.62,"NC","M"
"306",306,15.64,"CA","M"
"307",307,15.66,"NM","M"
"308",308,15.69,"FL","M"
"309",309,15.74,"NC","M"
"310",310,15.76,"AL","M"
"311",311,15.82,"NJ","M"
"312",311,15.82,"TX","M"
"313",313,15.83,"CT","M"
"314",314,15.84,"OH","M"
"315",314,15.84,"OR","M"
"316",316,15.87,"CA","M"
"317",317,15.89,"IL","M"
